,Name,Distance,Mass,Radius,Gravity
93,2MASSI J1217110-031113 [de],36.0,8.3538e+31,653958000.0,13036.786760187986
94,2M 1237+6526,45.6,8.154899999999999e+31,653958000.0,12726.387075421604
95,TWA 29,262.0,3.978e+30,17392500000.0,0.8776613166706366
96,SDSSp J125453.90-012247.4 [de],38.0,9.348300000000001e+31,681786000.0,13422.16845960014
97,Kelu-1A,61.0,1.25307e+32,681786000.0,17991.417296910826
98,Kelu-1B,61.0,1.1536200000000001e+32,681786000.0,16563.527035251238
99,2MASS J13204427+0409045,101.0,1.33263e+32,702657000.0,18013.95335534894
100,SDSSp J132629.82-003831.5 [de],65.0,1.01439e+32,674829000.0,14866.327170196908
101,SDSSp J134646.45-003150.4 [de],48.0,8.7516e+31,653958000.0,13657.586129720748
102,2MASS J13595510-4034582,51.0,1.25307e+32,695700000.0,17278.95717195316
103,ULAS J141623.94+134836.3,29.7,6.3648e+31,667872000.0,9523.234772901871
104,SDSS J141659.78+500626.4 [de],149.0,1.17351e+32,688743000.0,16510.438247234833
105,DENIS-P J142527.97-365023.4 [de],38.0,4.1769e+31,918324000.0,3305.5856236518894
106,LHS 2924,38.5,1.51164e+32,737442000.0,18551.491875158084
107,2MASS J14392837+1929150,47.0,1.4320799999999998e+32,716571000.0,18613.799250720447
108,LSPM J1440+1339,72.0,1.82988e+32,827883000.0,17818.48941055067
109,2MASS J14482563+1031590 [de],47.0,1.17351e+32,688743000.0,16510.438247234833
110,CFBDSIR 1458+10A,104.0,2.20779e+31,1043550000.0,1353.0611965338978
111,CFBDSIR 1458+10B,104.0,1.7900999999999998e+31,904410000.0,1460.6050018557191
112,TVLM 513-46546,35.1,1.49175e+32,730485000.0,18657.766085685304
113,2MASS 1503+2525,20.7,8.7516e+31,653958000.0,13657.586129720748
114,CFBDS J150411+102717,71.0,8.7516e+31,653958000.0,13657.586129720748
115,2MASSW J1506544+132106 [de],46.0,1.3724100000000001e+32,709614000.0,18189.707939937143
116,2MASS 1507−1627,23.9,1.1934e+32,688743000.0,16790.276183628648
117,TVLM 868-110639,53.0,1.57131e+32,751356000.0,18576.186347141924
118,2MASSW J1515008+484742 [de],34.0,1.13373e+32,688743000.0,15950.762374447211
119,2MASSI J1526140+204341 [de],67.0,1.07406e+32,681786000.0,15421.214825923567
120,DENIS-P J153941.96-052042.4 [de],51.0,1.25307e+32,695700000.0,17278.95717195316
121,2MASS J15462718-3325111 [de],37.0,8.7516e+31,653958000.0,13657.586129720748
122,2MASSW J1552591+294849 [de],68.0,5.967e+31,994851000.0,4023.705239271954
123,2MASSW J1555157-095605 [de],44.0,1.41219e+32,716571000.0,18355.27426112711
